,player_id,player_name,player_display_name,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent,last_year_ppr_points,rolling_ppr,depth_position,def_points_against,total,moneyline,team,team_doubtful,team_out,team_questionable,injured,fp_proj,position_QB,position_RB,position_TE,position_WR
178,00-0035639,P.Campbell,Parris Campbell,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/plnptpz1flhijayvb0qv",NYG,2023.0,6.0,REG,MIA,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,-1.526787519454956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,4.333333333333333,20.666666666666668,0.0,0.0,0.0,18.333333333333332,10.333333333333334,0.3333333333333333,-5.925926089286804,0.0,1.3180222908655803,0.13680555671453476,0.12787743409474692,0.13793103,0.0,0.0,0.0,MIA,149.1,5.733333269755046,2.0,44.26666666666667,43.5,750.0,NYG,0.0,5.0,7.0,0.0,3.9,0,0,0,1
179,00-0035640,D.Metcalf,DK Metcalf,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u4cefcz7gjvby8c2kdkm",SEA,2023.0,6.0,REG,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,73.66666666666667,0.3333333333333333,0.0,0.0,75.0,14.0,4.0,5.403148333231608,0.0,0.9746295213699341,0.18152658144632974,0.3330197334289551,0.4440505,0.0,0.0,0.0,NYG,226.80000000000004,14.366666793823242,3.0,42.333333333333336,45.5,130.0,SEA,1.0,2.0,2.0,0.0,14.6,0,0,0,1
180,00-0035644,N.Fant,Noah Fant,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w1gqasldrg3jumzdqjvy",SEA,2023.0,6.0,REG,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.6666666666666665,53.333333333333336,0.0,0.0,0.0,27.333333333333332,27.333333333333332,2.0,3.8543805281321206,0.0,3.4999687671661377,0.10929611325263977,0.11921178052822749,0.15913461,0.0,0.0,0.0,NYG,122.59999999999998,8.666666984558105,2.0,8.1,45.5,130.0,SEA,1.0,2.0,2.0,0.0,6.5,0,0,1,0
181,00-0035657,D.Harris,Damien Harris,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s0cagglk6qh9ciuddjmu",BUF,2023.0,6.0,REG,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,19.0,0.0,0.0,0.0,1.6666666666666667,-0.3935728470484416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAX,90.90000000000002,1.900000015894572,2.0,16.8,43.5,-1200.0,BUF,0.0,0.0,3.0,0.0,5.2,0,1,0,0
182,00-0035659,T.McLaurin,Terry McLaurin,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jpprw1itmmg5nhrdwony",WAS,2023.0,6.0,REG,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,58.666666666666664,0.0,0.0,0.0,79.66666666666667,15.666666666666666,3.0,2.410710573196411,0.0,0.7879829605420431,0.18915783117214838,0.2451798419157664,0.30185,0.0,0.0,0.0,CHI,229.0,11.866666793823242,2.0,36.5,42.0,105.0,WAS,0.0,1.0,1.0,0.0,12.8,0,0,0,1
184,00-0035676,A.Brown,A.J. Brown,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",PHI,2023.0,6.0,REG,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.666666666666666,144.33333333333334,0.6666666666666666,0.0,0.0,156.0,55.333333333333336,6.666666666666667,7.471267223358154,0.0,0.9496190150578817,0.339215690890948,0.4947012662887573,0.7108957,0.0,0.0,0.0,LA,299.6,26.43333371480306,1.0,26.566666666666663,43.0,-305.0,PHI,0.0,4.0,2.0,0.0,16.8,0,0,0,1
185,00-0035685,D.Montgomery,David Montgomery,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/grd20lxzonco9jyg3ful",DET,2023.0,6.0,REG,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.333333333333332,99.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,6.333333333333333,0.8333152135213217,0.0,1.6666666666666667,3.0,15.666666666666666,0.0,0.0,0.0,0.3333333333333333,19.0,1.0,-0.19477200508117676,0.0,1.7365078528722127,0.10856935443977515,-0.0012484118342399597,0.34598392,0.0,0.0,0.0,CAR,177.70000000000002,22.466665903727215,1.0,29.8,43.5,-162.0,DET,0.0,7.0,2.0,0.0,17.1,0,1,0,0
187,00-0035700,J.Jacobs,Josh Jacobs,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sagoqkubeaz5yht01ow7",LV,2023.0,6.0,REG,GB,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,-1.0764065980911255,0.0,0.0,0.0,18.0,63.0,0.6666666666666666,0.0,0.0,3.3333333333333335,-1.7459890445073445,0.0,5.333333333333333,7.0,39.666666666666664,0.0,0.0,0.0,6.666666666666667,38.0,1.6666666666666667,1.2471406956513722,0.0,1.4619048833847046,0.19184128195047379,0.014631409818927446,0.24007764,0.0,0.0,0.0,GB,328.3,19.599999745686848,1.0,26.4,41.5,-148.0,LV,0.0,2.0,1.0,0.0,17.0,0,1,0,0
190,00-0035719,D.Samuel,Deebo Samuel,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciwaktyqewczcquks4wy",SF,2023.0,6.0,REG,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.666666666666666,0.0,0.0,0.0,0.3333333333333333,-0.27456702788670856,0.0,3.0,5.0,61.333333333333336,0.3333333333333333,0.0,0.0,34.0,33.666666666666664,2.0,6.892573118209839,0.0,1.7808035612106323,0.23647059127688408,0.295955166220665,0.28616112,0.0,0.0,0.0,DAL,168.4,12.400000135103861,1.0,29.666666666666668,36.0,-470.0,SF,0.0,0.0,2.0,0.0,13.7,0,0,0,1
191,00-0035771,M.Wilcox,Mitchell Wilcox,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cxh2vsypwniukuheewu0",CIN,2023.0,6.0,REG,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,8.5,0.0,0.0,0.0,5.0,7.5,0.0,-0.02427057921886444,0.0,0.4166666567325592,0.05112721398472786,0.010813492350280285,0.044444446,0.0,0.0,0.0,TEN,36.9,2.350000023841858,3.0,6.966666666666668,45.5,-155.0,CIN,0.0,1.0,4.0,0.0,0.6,0,0,1,0
192,00-0035806,J.Hasty,Jamycal Hasty,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cny5zdqbqkimr4ypua1x",JAX,2023.0,6.0,REG,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,-2.3684427738189697,0.0,0.0,0.06666667014360428,0.1340782195329666,0.19385475,0.0,0.0,0.0,ATL,70.0,0.0,1.0,10.733333333333334,44.0,-205.0,JAX,0.0,4.0,1.0,0.0,0.0,0,1,0,0
193,00-0035860,T.Jones,Tony Jones,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cgvll8lokulmws98olfa",NO,2023.0,6.0,REG,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.333333333333332,0.6666666666666666,0.0,0.0,2.0,0.6035904934008917,0.0,1.3333333333333333,2.0,7.0,0.0,0.0,0.0,-1.6666666666666667,7.333333333333333,0.3333333333333333,-0.8156806603074074,0.0,-10.5,0.08823529444634914,-0.009144189185462892,0.17392513,0.0,0.0,0.0,GB,10.4,8.366666475931803,4.0,26.4,42.5,-130.0,NO,0.0,5.0,1.0,0.0,0.0,0,1,0,0
